Title,Company,Company_Rating,Location,Salary,Date,Description
nuevo empleoData Engineer bilingüe para sector financiero,CONSULTORIA PEÑA GUERRERO,,"Cuauhtémoc, CDMX",,Postedhace 6 días,"Gran conocimiento en la manipulación de data warehouses, data wrangling o data tyding con grandes volúmenes de información."
Head of Internal Audit,Revolut,,Remoto,,Postedhace 9 días,"You are a data evangelist and proficient in both working with and interpreting data - ideally with practical experience with one of the following: SQL, Python…"
Service Specialist I - Surface Well Testing,Halliburton,3.9,"Reforma, Tab.",,Postedhace 29 días,"Monitors instruments and performs necessary calculations to assure quality of data/job.
 Under general supervision, performs all phases of the rigging up and…"
nuevo empleoCash Management Sales Officer - 11,Citi,3.9,"Naucalpan, Méx.+1 ubicación",,Postedhace 5 días,"Applies professional judgment when interpreting data and results.
 Applies analytical thinking and knowledge of data analysis tools and methodologies."
Analista de inversión social - Proyecto R,Newmont Mining,4.0,"Mazapil, Zac.",,Postedhace 13 días,"Newmont never asks its candidates for any type of financial compensation to be a candidate for an offer of employment or for doing paperwork, exams or any other…"
Account Coordinator,HH Global,,"11560, Colonia Polanco, CDMX+1 ubicación",,Postedhace 21 días,"Input all project specifications and relevant data into an internal procurement system and maintain key data points in the system, including customer quotes,…"
Data and Insights Analyst,AstraZeneca,4.1,"Guadalajara, Jal.",,Postedhace 30+ días,Some experience in a data analyst or business role aligned to data and information management with practical examples of performing data analysis in terms of…
Office Admin / Marketing,Hone Maxwell LLP,,"Tijuana, B.C.","$5,686 - $16,772 al mes",EmployerActivo hace 8 días,"Managing day to day operations of the Tijuana office.
 Overseeing firm marketing in Mexico.
 Coordinating firm’s Spanish social media."
Senior Sql Database Administrato,Naro Hunters S.A DE C.V,,"Cuajimalpa, CDMX","$70,000 - $80,000 al mes",Postedhace 30+ días,"Support, develop, and maintain multiple SQL Server Database and data replication subsystems.
 Create & troubleshoot extract, transform & load (ETL) SSIS packages…"
Commercial Analyst,HH Global,,"11560, Colonia Polanco, CDMX",,Postedhace 30+ días,"Audits spend and savings data.
 Comfortable managing admin heavy data management projects.
 Identifies and documents controls to prevent or detect incorrect data."
nuevo empleoDesign leader FND/EPB/DBR (Friction brakes),Continental,4.0,"Silao, Gto.",,Postedhace 4 días,"Lead the product design engineering group for Foundation/EPB and drum brake products, implement and confirm the performance requirements, management of CAD data…"
nuevo empleoProgramador PYTHON - Bilingüe,AGVS,,"Benito Juárez, CDMX+1 ubicación","$28,500 al mes",Postedhace 2 días,"Conocimiento previo con bases de datos relacionales o data modeling.
 Experiencia con Agile sería un plus.
 Interesados que cumplan con el perfil postularse por…"
nuevo empleoFinancial Analyst,Gates Corporation,3.5,"Álvaro Obregón, CDMX",,Postedhace 3 días,"Perform daily reporting & analysis of Global sales, orders, backlog & SGM data.
 Provide analytical support to business units and finance operational teams by…"
Líder de Relaciones Comunitarias - Proyecto R,Newmont Mining,4.0,"Mazapil, Zac.",,Postedhace 13 días,"Newmont never asks its candidates for any type of financial compensation to be a candidate for an offer of employment or for doing paperwork, exams or any other…"
"Remote Data Engineer (AWS, SQL, PostgreSQL, and Java)",Turing.com,,Remoto,,EmployerActivo hace 28 días,"Decipher data migration issues and improve system performance.
 Assist in designing and building scalable data pipelines utilizing generation tools and…"
Data Center Capacity Management Intern,HP,4.0,"Guadalajara, Jal.",,Postedhace 30+ días,"Interns will function as part of a data center hosting team, planning and coordinating data center capacity expansion and delivering and maintaining reporting…"
"Automation Solution Engineer (All levels), MuleSoft",Salesforce,4.3,Remoto,,Postedhace 30+ días,"As a Solution Engineer, you are a trusted advisor to MuleSoft’s prospective and existing customers by proving how MuleSoft can bring their digital investments…"
Data Engineer,BSIDE,3.8,"Benito Juárez, CDMX",,Postedhace 30+ días,"BSide está conformado por grandes especialistas, arquitectos y líderes técnicos."
"Automation Solution Engineer (All levels), MuleSoft",Salesforce,4.3,Remoto,,Postedhace 30+ días,"As a Solution Engineer, you are a trusted advisor to MuleSoft’s prospective and existing customers by proving how MuleSoft can bring their digital investments…"
Data Engineer,BSIDE,3.8,"Benito Juárez, CDMX",,Postedhace 30+ días,"BSide está conformado por grandes especialistas, arquitectos y líderes técnicos."
Customer Service Representative,Sharecare Inc.,,Remoto,,Postedhace 30+ días,"The Customer Service Representative (CSR) answers inbound calls from members and providers, inputs data, and provides a high level of customer service always…"
nuevo empleoCustomer Success Manager,PrimeWorks,,Remoto,,Postedhace 8 días,"Analyze performance data (usage, engagement, conversion impact, etc.) and make recommendations to optimize the product.
 Experience using bug tracking software."
Copywriter,Our Creative Ecosystem,,"Monterrey, N. L.",,Postedhace 30+ días,"Build integral pieces of text to get the attention needed to make sure the message goes through.
 Proof read every text that goes through you while perfecting…"
Data Analyst (Remote),PPG Industries,3.4,"Remoto in Querétaro, Qro.",,Postedhace 30+ días,"Review and analyze the requirements detail for its proper estimate.
 Define internal activities for DA CoE, communicate to the FLIT and follow up the correct…"
Platform Application Engineer - Memory Technologies,Intel,4.1,"Guadalajara, Jal.",,Postedhace 30+ días,"Creating and maintaining data sheets and application notes.
 DPEA enables that data center which is the underpinning for every data-driven service, from…"
"Associate Project Manager, Engineering",Skyworks,3.8,"Mexicali, B.C.",,Postedhace 30+ días,"Identify, evaluate, and execute improvement opportunities alongside organization's personnel, ensuring alignment to strategies and business goals, while…"
SENIOR DATA SCIENTIST,Svitla Systems,,Remoto,,Postedhace 30+ días,"Provide leadership and coaching to data science and R&D teams to establish data science best practices within the project.
 Legal IMSS contract (no mix schema)."
Becario,GE Aviation,3.8,"Querétaro, Qro.",,Postedhace 22 días,Document technical data generated through the project development to substantiate the results in clear and concise format that is consistent with engineering…
Administrador Base de Datos con Experiencia en SQL,GSI,3.6,"Cuauhtémoc, CDMX","$21,453 al mes",Postedhace 30+ días,"Licenciatura en Sistemas Computacionales, Informática, o bien, Ingeniería Industrial o Mecánica Titulado.
 INDISPENSABLE experiencia en Administración de Bases…"
nuevo empleoSoftware Engineer Jr - Java,Luxoft,4.4,Remoto,,Postedhace 8 días,"Write clean code utilizing object-oriented design principles, data structures and algorithms.
 You have focus and strong sense of ownership."
Sales Engineer I,Johnson Controls,3.7,"Miguel Hidalgo, CDMX",,Postedhace 30+ días,"Prepares and submits all approved data.
 Under general direction, manages and promotes the sale of York Engineered Systems Group products and services at the…"
Ejecutivo de Atraccion Comercial-3,Prudential,3.8,"Colonia Santa Fe, CDMX",,Postedhace 30+ días,Responsibilities include following up on sales calls answering product questions providing performance data and identifying new sales opportunities.
Data Analyst,Bosch Group,4.1,"Guadalajara, Jal.",,Postedhace 26 días,"Data Analyst with 3+ years of experience and demonstrates ability for understand business requirements, data management and data modeling."
Data Scientist / Senior Data Scientist,C3 AI,,"Guadalajara, Jal.",,Postedhace 30+ días,"Collaborating with data and subject matter experts from C3 AI and its customer teams to seek, understand, validate, interpret, and correctly use new data…"
nuevo empleoConsultor Business Intelligence,SYCNOS SERVICIOS Y CONSULTORIA ESTRATEGICA SA DE...,3.0,"Monterrey, N. L.",,PostedHoy,"Experiencia en el análisis y desarrollo de soluciones de Data Warehousing.
 Conocimiento de servicios de tratamiento en Amazon AWS."
Data Engineer / ETL Developer,B9 Inc.,,Ciudad de México,,EmployerActivo hace 3 días,"Prep data for analysis based on guidance from data modelers and data analysts/scientists.
 Cleanse data ingested into DWH.
 Ingesting all data into this DWH."
nuevo empleoPartnerships Manager,Arcus,,Remoto,,PostedHoy,"Great capacity in data management and analysis.
 Responsible for executing the actions associated with the implementation of a new partner."
"Manager Inteligencia de Mercados BEyG (Torre BBVA, Ciudad de...",BBVA,4.2,"Cuauhtémoc, CDMX",,Postedhace 15 días,"Paquetería: Excel Avanzado y algún otro programa que sume al análisis de datos y presentación.
 Realizar estudios de inteligencia de mercado para la Banca…"
nuevo empleoProgrammer Support Jr,Vitesco Technologies,3.6,"Cuautla, Mor.",,Postedhace 6 días,A Porgrammer Support Jr. is responsible for developing and implementing systems and interfaces that interact with the database and production machines to…
Actuario,RL Calidad Humana,,"Zapopan, Jal.",,EmployerActivo hace 17 días,"Uso las tecnologías de la información y comunicación para investigar y resolver problemas, producir materiales y transmitir información."
Software Engineering Intern,"Siemens, S.A. de C.V.",4.0,"Santa Catarina, N. L.",,Postedhace 22 días,"Development of continuous improvement projects regarding all processes in the factory, including both productive and administrative, through every kind of…"
nuevo empleoCost Accountant,Gates Corporation,3.5,"Álvaro Obregón, CDMX",,Postedhace 3 días,"Resolves reconciling items within a reasonable timeframe and prepares data for balance sheet review processes.
 Participate in special projects as assigned."
Digital Planner,Our Creative Ecosystem,,"Monterrey, N. L.",,Postedhace 30+ días,You will be always on the watch to identify and seize opportunities and trends in order to generate valuable content for each Brand's Digital Ecosystem.
Intern Payroll,Transplace de Mexico Global,,"Monterrey, N. L.",,Postedhace 14 días,"Ability to handle data with confidentiality.
 Audit and digitization of files, control new files of employees.
 Control and database for metrics."
IT Project Manager,PK,,Remoto,,Postedhace 19 días,"The Catalyst Team is seeking a IT Project Manager to join our full-time team as full-time employee.
 E-Invoice (Finance) and info shared with MX government."
Data base / Data Center Engineer,Atos,3.5,"Monterrey, N. L.",,EmployerActivo hace 10 días,"Physical Security - Verify that the non-enterprise data centers (DC) are not accessed by unauthorized individuals.
 Report unauthorized access to Security."
nuevo empleoBusiness Analyst,Cognizant,3.9,"Guadalajara, Jal.",,Postedhace 1 día,"Experience in data warehouse and Business Intelligence area.
 Experience in implementing dashboard , data visualization and analytics using tableau/Power BI."
General Manager,"U.S. Pipe, A Forterra Company",3.6,"Monterrey, N. L.",,Postedhace 30+ días,"Must be able to capture data in excel, create graphs, analyze and interpret trends.
 Be the leader of U.S. Pipe Mexico (i.e., Metalfit) to ensure that the…"
nuevo empleoBusiness Analyst,Cognizant,3.9,"Guadalajara, Jal.",,Postedhace 1 día,"Experience in data warehouse and Business Intelligence area.
 Experience in implementing dashboard , data visualization and analytics using tableau/Power BI."
General Manager,"U.S. Pipe, A Forterra Company",3.6,"Monterrey, N. L.",,Postedhace 30+ días,"Must be able to capture data in excel, create graphs, analyze and interpret trends.
 Be the leader of U.S. Pipe Mexico (i.e., Metalfit) to ensure that the…"
Index NPD Research (Sr. Associate),MSCI Inc,,"Monterrey, N. L.",,Postedhace 30+ días,"Will carry out extensive back testing, research and analysis of investment strategies using historical market data, factor models, ESG & Climate characteristics…"
Program Manager,Core Molding Technologies,,"Escobedo, N. L.",,Postedhace 30+ días,Research best practices within and outside the organization to establish benchmark data and use continuous process improvement disciplines to achieve results.
Enterprise Data Specialist,Johnson Controls,3.7,"San Pedro Garza García, N. L.",,Postedhace 30+ días,"Sustains quality and timely master data, whether existing or new data.
 Support data requests from requesters across various regions and countries for master…"
Reservations Agent,Rosewood Hotels & Resorts,4.0,"Playa del Carmen, QRoo.",,Postedhace 18 días,"General Skills: Must be able to perform job functions with attention to detail, speed and accuracy; prioritize, organize and follow-up; be a clear thinker,…"
Regional K-User Power BI,Continental,4.0,"San Luis Potosí, S. L. P.",,Postedhace 15 días,"Ensures that environment is running, creates concepts for further developments, steers and coaches plant implementation and consult as data expert for problem…"
Consultant - Business Analyst,Genpact,,Remoto,,Postedhace 30+ días,"The position of Business Analyst role for Cox Infrastructure teams.
 It requires the ability to successfully coordinate between the different Technology teams to…"
Materials Manager,HQ_Talento,,"Guadalupe, N. L.",,EmployerActivo hace 26 días,"Development and support for reliability and warranty improvements, data analysis and corrective action / continuous improvement."
Analista de estrategias de prevención de fraudes,Rappi,3.6,"Monterrey, N. L.",,Postedhace 30+ días,"Elaborar análisis de data respecto al comportamiento transaccional del portafolio.
 Al menos 1 año de experiencia en analítica de big data."
Digital Solutions | Software Architect,TELUS International,3.8,Remoto,,Postedhace 14 días,"System and data security and quality.
 You will act as a high-level decision-maker, determining everything from design choices to technical standards, such as…"
"nuevo empleoSR BI Reporting Analyst (Tableau, Cognos)",Gates Corporation,3.5,"Álvaro Obregón, CDMX",,PostedRecién publicado,"Business Intelligence Developer experienced in data warehousing concepts.
 Provide troubleshooting of dashboards, reports and data issues."
Market Manager,Agoda Company,,"Cancún, QRoo.",,Postedhace 30+ días,"Strong strategic and data analysis skills.
 Suggest business solutions, based on data, to maximize Priceline and Agoda accommodation availability, content…"
SEO Manager,Plerk,,Remoto,,Postedhace 9 días,"Collect data and report on traffic, rankings and other SEO aspects.
 You’ll also oversee paid search campaigns to ensure their success."
UIPATH/POWER AUTOMATE PROGRAMMER,Svitla Systems,,Remoto,,Postedhace 30+ días,"Use APIs and screen scraping to extract new data forms and target systems.
 Svitla Systems Inc. is looking for an UIPath/Power Automate Programmer for a full…"
nuevo empleoAccountant (Temporary 9 months),LEGO,4.2,"Monterrey, N. L.",,Postedhace 6 días,"Ensure timely, accurate and reliable transactional data recorded in general ledger and timely reconciliation of all accounts."
SUPERVISOR DE OBRA / VIVIENDA RESIDENCIAL,DESARROLLADORA RANMAN,,"Aguascalientes, Ags.","$17,000 - $18,000 al mes",Postedhace 12 días,"Supervisar el proceso obra, que se cumpla en tiempo, costo y calidad."
Quality Engineer,BIC,3.9,"Cuautitlán Izcalli, Méx.",,Postedhace 30+ días,"Analyze the quality standards for raw materials, components, products or services to ensure compliance with the quality standards established by the Company."
"nuevo empleoEngineer Product I - Virtual Design, Simulation, and Analysi...",John Deere,4.0,"Remoto in San Pedro Garza García, N. L.",,Postedhace 8 días,"Performs basic product design, testing and/or analysis work for a defined portion of a project.
 Operates in a team environment, providing input to design…"
Operations Analyst,Uline,3.1,"Mexicali, B.C.",,Postedhace 30+ días,"Review and summarize operational data and provide executive summaries with recommendations to Uline Mexico leadership.
 Power BI experience a plus."
Planner,Vertiv Co.,3.6,"Santa Catarina, N. L.",,Postedhace 21 días,"Set up, execution and maintenance of ordering parameters and MRP data.
 Fill in for the Material Planning Supervisor and Master Scheduler as needed."
Analytics Client Service Associate,MSCI Inc,3.9,"Monterrey, N. L.",,Postedhace 30+ días,"Act as point of contact for routine inquiries and data requests.
 Analyze market performance and data for our clients on a reactive and a pro-active basis."
Data Modeler - HO - USA,Dresden Partners,2.4,"Cuauhtémoc, CDMX",,Postedhace 26 días,"Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech…"
Ingeniero de Datos y Analítica remoto (sin sesgos de género),Turing.com,,Remoto,,EmployerActivo hace 20 días,"Solo se considerarán candidatos con +3 años de experiencia en desarrollo de software para este puesto.*.
 Turing.com busca contratar a un Ingeniero de Datos y…"
Intern Payroll,Transplace,3.4,"Monterrey, N. L.",,Postedhace 14 días,"Ability to handle data with confidentiality.
 Audit and digitization of files, control new files of employees.
 Control and database for metrics."
nuevo empleoData Management & Tools Dev intern,Schneider Electric,3.9,"Apodaca, N. L.",,Postedhace 1 día,"The position is based in PIIT and reports to the Technology Standardization Management team.
 From the simplest of switches to complex operational systems, our…"
nuevo empleoData Engineer,HERSHEY MX,,"Monterrey, N. L.",,Postedhace 5 días,"Responsable en la implementación del estándar y templates en el sistema OSI PI, mejoras en sistemas ya desarrollados y en funcionamiento, soporte técnico y…"
nuevo empleoHR INTERN,GE Aviation,3.8,"Querétaro, Qro.",,Postedhace 7 días,"Become familiar with data architecture (Workday) while identify/anticipating data needs.
 Ability to manage sensitive data.
 Excellent use of Microsoft Excel."
nuevo empleoSenior Cloud Data Engineer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 5 días,"Healthcare data background, especially provider data (versus payer data), including clinical data.
 We are looking for a data engineer responsible for expanding…"
REMOTE Office Manger/Bookkeeper,Pivot Solutions LLC,,"Remoto in Chihuahua, Chih.",,EmployerActivo hace 3 días,"We are looking for an individual that is comfortable working with numbers (great math skills), has an eye for detail, great organizational skills, data driven,…"
REMOTE Office Manger/Bookkeeper,Pivot Solutions LLC,,"Remoto in Chihuahua, Chih.",,EmployerActivo hace 3 días,"We are looking for an individual that is comfortable working with numbers (great math skills), has an eye for detail, great organizational skills, data driven,…"
nuevo empleoDesarrollador de aplicaciones / Tutor online,Coderhouse,,"Remoto in Cuauhtémoc, CDMX",,Contratación continua,"Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto."
Digital Transformation PM,Hewlett Packard Enterprise,3.8,"Tlaquepaque, Jal.",,Postedhace 30+ días,": Degrees in advanced analytics, data science are preferable.
 Independently identifies solutions to common and complex issues and drives complex projects or…"
"Technical Account Manager, Remote (Bilingual in English)",Synology America Corp,,Remoto in Ciudad de México,"$30,000 - $50,000 al mes",EmployerActivo hace 3 días,"This position is responsible for handling technical specifications and providing support to our resellers.
 Our ideal candidate will have technical experience…"
Customer Service Representative,KINETEK DE MEXICO,3.6,"Apodaca, N. L.","$20,000 - $30,000 al mes",EmployerActivo hace 8 días,"2-5 years of call center or data center experience.
 Provide basic technical support to customers via email, phone, or other methods."
nuevo empleoDesarrollador Power BI,Consultoría INTERAX,,"Zacatecas, Zac.+7 ubicaciones","$30,000 - $38,000 al mes",Postedhace 1 día,"Experiencia en manejo de data warehouse o data lakes.
 Microsoft Power BI - Microsoft Power Automate.
 Análisis de información para modelado de datos."
Planner Supervisor,SMS México S.A. de C.V,2.1,"Tlalnepantla, Méx.","$20,000 - $25,000 al mes",EmployerActivo hace 2 días,"Collection and analysis of data on current orders, production levels and repair forecasts to estimate future demand for materials.
 Keep the BOM's updated."
nuevo empleo.Net C# Software Engineer,Noralogic,,"Remoto in Cuauhtémoc, CDMX","$55,000 - $65,000 al mes",PostedRecién publicado,"Knowledge about data access technologies like Entity Framework, ADO Net, *Dapper,* or similar.
 Hands-on UI development usin*g Angular, Vue or similar frameworks…"
Auditor de Calidad,Magna International Inc.,3.6,"Ramos Arizpe, Coah.",,Postedhace 26 días,"Liberar el material en el perceptron.
 Liberar material en el Sistema SAP.
 Sistemas de medición (Reloj SPC, Data Myte, Escalímetro, Vernier, etc)."
nuevo empleoAdmin Assist IV,Maxeon,,"Ensenada, B.C.",,Postedhace 1 día,"Able to independently gather data for analysis and reporting.
 Understands how to apply data obtained through own research or supplied by others."
nuevo empleoExecutive Business Assistant - [Remote],Scalesource,,"Remoto in Querétaro, Qro.","$20,000 al mes",Postedhace 1 día,We are looking for a full-time Executive Business Assistant to serve as the right-hand/Assistant to the owners/CEOs of multiple businesses with operations…
Fixed Income Market Data Specialist,MSCI Inc,3.9,"Monterrey, N. L.",,Postedhace 30+ días,"Work closely with our global data update teams and global data vendors.
 Large scale financial or reference data warehouse experience ideal."
Marketing Associate CDMX Job,Boston Scientific Corporation,3.9,"Benito Juárez, CDMX",,Postedhace 21 días,"Outstanding analytical skills and experience with reporting and data analysis.
 Follows standard practices and procedures in analyzing situations or data from…"
Brand Manager Assistant,The Clorox Company,4.0,"Tlalnepantla, Méx.",,Postedhace 30+ días,"Play a key role in brand /category projects for Dilutables, a growth vector for North Latam Business.
 Lead Costa Rica & Puerto Rico Marketing plans."
Specialist NAAE,PwC,4.0,"Tijuana, B.C.+1 ubicación",,Postedhace 30+ días,"Handle, manipulate and analyse data and information responsibly.
 We focus on using the latest technology to reduce the level of manual testing ensuring you’ll…"
Sr. Software Development Analyst,IQVIA,3.8,Remoto,,Postedhace 30+ días,"Program data manipulations, complex listings, and summary tables for internal and external clients.
 At IQVIA, we believe in pushing the boundaries of human…"
Sr. Database Administrator,American Standard,3.6,"Ecatepec, Méx.",,Postedhace 15 días,"Use high-speed transaction recovery techniques and backup data.
 Provide proactive and reactive data management support and training to users."
Data Analyst,Dresden Partners,2.4,"Hybrid remote in Guadalajara, Jal.+1 ubicación",,Postedhace 30+ días,"Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech…"
Jr. Telecommunications Software Support Consultant,Hewlett Packard Enterprise,3.8,"Tlaquepaque, Jal.",,Postedhace 30+ días,You will work on complex problems / projects where analysis of situations or data requires an in depth evaluation of HPE Operations Support Systems [OSS]…
Sr. Administrative Assistant,Steelcase,3.9,"San Pedro Garza García, N. L.",,Postedhace 15 días,"Gathers, collects, records, tracks, and verifies data and information from multiple sources.
 Steelcase was founded as an office furniture maker, and we've…"
Accounting Analyst,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 30+ días,"The selected candidate must show knowledge managing Financial Systems, ERP’s, databases, data extraction methods, report presentations and analytical skills."
nuevo empleoCommunity Manager Bilingue y/o Trilingue,Linkeo.com Inc.,,"Cancún, QRoo.","$14,000 - $16,000 al mes",Postedhace 2 días,"Ads campaigns - Mastery of Analytics, data analysis and reporting tools).
 With 23,000 customers, 600 employees and € 40 million in revenue, Linkeo has enjoyed…"
"Hygiene Data, Python, Perl Scripting",Doyensys Inc,,"México Libre, Tamps.",,EmployerActivo hace 27 días,"Role: Hygiene Data, Python, Perl Scripting.
 Location: Any Location in Mexico.
 Note: Must Have English Advanced Level.
 Direct Contact: 469 754 1696*."
Bi-Lingual Supervisor of Credit & Collections,Effem Mexico,4.7,"Apodaca, N. L.","$40,000 - $45,000 al mes",EmployerActivo hace 8 días,"· Advanced Microsoft Excel skills required – pivot tables, working with large data sets, etc.
 Requires a strong background in analyzing financial statements and…"
Website Designer,Cloudbeds,,"Playa del Carmen, QRoo.+3 ubicaciones",,Postedhace 30+ días,"From data architects to UX designers, integrations managers to payments experts, former hotel managers to former OTA executives, our team comprises the…"
Information Security Specialist,amdocs,3.8,"Guadalajara, Jal.",,Postedhace 30+ días,"Ensure confidentiality and protection of sensitive data.
 Location: MEXICO- GUADALAJARA (Amdocs Site).
 Amdocs helps those who build the future to make it amazing…"
nuevo empleoData Collector,Cornelius Manufacturing De Mexico Sa De Cv,,"Reynosa, Tamps.",,Postedhace 1 día,"Responsible for entering data into systems.
 Required to enter high volumes of data accurately.
 Utilizes basic knowledge of operating data entry equipment…"
Postgres Database Manager,Plerk,,Remoto,,Postedhace 30+ días,"Experience managing financial data or transactional data.
 A great data manager is able to fully grasp the complexity of data management."
nuevo empleoPayroll Specialist - Remote,TTEC,3.4,"Remoto temporalmente in Guadalajara, Jal.",,Postedhace 6 días,"Able to respect and ensure strict confidentiality of employee and payroll data.
 What you'll be doing:
 This position it is critical to support the proper…"
nuevo empleoCUSTOMER SUCCESS ANALYST,CEMEX,4.0,"Monterrey, N. L.",,Postedhace 1 día,"Ensure the deployment of Arkik's Ready Mix Suite offering from prospecting support to solution implementation, operational continuity and customer success with…"
Website Designer,Cloudbeds,,"Playa del Carmen, QRoo.+3 ubicaciones",,Postedhace 30+ días,"Provide flexibility in working hours and locations;
 Conceptualize, use a consultative approach in creating high quality, professional, hospitality websites for…"
Information Security Specialist,amdocs,3.8,"Guadalajara, Jal.",,Postedhace 30+ días,"Ensure confidentiality and protection of sensitive data.
 The Information Security Specialist will lead the efforts to secure the Amdocs ecosystem by guiding and…"
nuevo empleoData Collector,Cornelius Manufacturing De Mexico Sa De Cv,,"Reynosa, Tamps.",,Postedhace 1 día,"Responsible for entering data into systems.
 Required to enter high volumes of data accurately.
 Utilizes basic knowledge of operating data entry equipment…"
Postgres Database Manager,Plerk,,Remoto,,Postedhace 30+ días,"Experience managing financial data or transactional data.
 Formulate techniques for quality data collection to ensure adequacy, accuracy, and legitimacy of data."
nuevo empleoPayroll Specialist - Remote,TTEC,3.4,"Remoto temporalmente in Guadalajara, Jal.",,Postedhace 6 días,"Able to respect and ensure strict confidentiality of employee and payroll data.
 This position it is critical to support the proper performance of the payroll…"
nuevo empleoCUSTOMER SUCCESS ANALYST,CEMEX,4.0,"Monterrey, N. L.",,Postedhace 1 día,"Ensure the deployment of Arkik's Ready Mix Suite offering from prospecting support to solution implementation, operational continuity and customer success with…"
SALES EXECUTIVE PARA DATA ANALYTICS EN GUADALAJARA,Top Sales Solutions,,"Guadalajara, Jal.+1 ubicación","$20,000 al mes",Postedhace 30+ días,"Conocimiento de las opciones de data Analytics existentes en el mercado.
 SALES EXECUTIVE PARA DATA ANALYTICS EN GUADALAJARA.
 Comisiones del 3.5 al 5% sin tope."
"Tech Prof-Completions, Sr",Halliburton,3.9,"Ciudad del Carmen, Camp.",,Postedhace 30+ días,"Interprets well site data in real time using complex technologies such as software simulators and the latest electrical and mechanical equipment, calculations,…"
Camp.us Intern,Our Creative Ecosystem,,"Monterrey, N. L.",,Postedhace 30+ días,"Open for college students in early semesters, as long as your schedule permits half-time employment from Monday to Friday.
 Obsessive with order and cleanliness."
Data Center Manager - Querétaro,Kyndryl,,"Querétaro, Qro.",,Postedhace 30+ días,"If you have applied for an IBM role previously, you will be able to log into the candidate zone using your previous IBM log in details."
Social Media Specialist (Remoto - Mexico),Remoteco,,Remoto,"$15,000 - $16,000 al mes",EmployerActivo hace 16 días,As a Social Media Marketing Specialist you will navigate different social media platforms and understand how to analyze data to determine popular trends and…
Information Security Analyst - Tier1,amdocs,3.8,"Guadalajara, Jal.",,Postedhace 30+ días,"You will be able to gathers relevant data, identifies trends and root causes, and draws logical conclusions to develop solutions."
nuevo empleoPlanner,Cubic Corporation,,"Tijuana, B.C.",,Postedhace 2 días,Reviews and analyzes engineering release authorizations and bills of material data to develop manufacturing plans.
"Remote Data Engineer (Python, SQL, AWS Lambda, and Docker)",Turing.com,,Remoto,,Postedhace 30+ días,"Experience in data modeling is a big plus.
 At least 3-5+ years of relevant data engineering experience.
 Build high-quality ETL pipelines and contribute to the…"
FP&A Enablement Accountant,Kerry,3.3,"Querétaro, Qro.",,Postedhace 14 días,"Support improvement efforts to drive data integrity in all dimensions within EPM.
 Investigate root cause and resolve ad hoc user & data governance queries."
SQL Database Developer,Castle Five,,"Cuajimalpa, CDMX","$50,000 - $60,000 al mes",EmployerActivo hace 5 días,"Licenciatura en Informática, Sistemas de Información o campo relacionado.
 Experiencia mínimo de 6 años de consultas SQL yT-SQL."
Data Transformation Engineer,MSIGHTS,4.3,"Monterrey, N. L.",,Postedhace 30+ días,"Implement Client Business Rules to use and group data.
 The Data Transformation Engineer plays a key role in the development and execution of automatic data…"
Electrical Validation Intern,Intel,4.1,"Guadalajara, Jal.",,Postedhace 30+ días,Interested in electrical analog signals and eager to learn on a variety of topics in the future of data center technology.
Appointment Setter,Six Star Solar,,"Ecatepec, Méx.+3 ubicaciones",,Contratación continua,"Computer literate with data entry skills and ability to type while speaking to customers.
 The agent's role is to speak with people interested in solar energy…"
"Software Engineer, Backend & Infrastructure",Cívica Digital,,"Remoto in Monterrey, N. L.",,Postedhace 30+ días,"Con nuestra plataforma URBEM, ayudamos a gobiernos a lanzar servicios digitales acelerando su transformación a gobiernos más eficientes, ágiles y digitales."
nuevo empleoDesarrollador de Sofware,ROMBO MX,,"Cuauhtémoc, CDMX",,Postedhace 5 días,"Solicitud y seguimiento del Soporte y Mantenimientos a la aplicación en lo relacionado a la instalación de parches, data-fix clonaciones, concurrentes, Service…"
Strategy & Growth Lead,albo,,Remoto,,Postedhace 30+ días,"Together with Customer Insights analyze data to monitor revenue performance and uncover areas for improvement.
 Ensure all deliverables are set and confirmed."
nuevo empleoBusiness Intelligence,HP,4.0,"Tlaquepaque, Jal.",,Postedhace 1 día,"Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors.
 Mentors and trains lower level employees."
Real Estate Associate; Construction & Real Estate Litigation...,Holland & Hart LLP,,"Real, Nay.",,Postedhace 30+ días,"The firm also gathers data regarding veteran status and LGBTQ+, both of which are not required for EEO-1 reporting purposes, however data related to LGBTQ+ data…"
Consultor BI,Paxia,,"Remoto temporalmente in Benito Juárez, CDMX","$25,000 - $28,000 al mes",EmployerActivo hace 2 días,"*Conocimientos: *Conocimiento en la administración de servidores SQL, dominio del lenguaje SQL (DML y DDL), bases de datos relacionales y no relacionales,…"
